Date,Actual_Volatility,Predicted_Volatility,GARCH_Volatility
2024-05-22,0.013783148315197974,0.037618484,0.03629488303188231
2024-05-23,0.01333850737929637,0.036728546,0.03492232041180997
2024-05-24,0.012686128545534569,0.036293346,0.03382720213514024
2024-05-25,0.013085213421513277,0.03538877,0.03240204105314769
2024-05-26,0.012118978048511708,0.03274663,0.031163750551531505
2024-05-27,0.011688769232439972,0.031985156,0.03015144577056688
2024-05-28,0.012273367956612633,0.030897591,0.029204865977497725
2024-05-29,0.013825446593704997,0.030795936,0.02865430143994106
2024-05-30,0.0120811629475261,0.03033905,0.027896051498330444
2024-05-31,0.012642635060283795,0.029103214,0.027147504950250635
2024-06-01,0.014524861611559158,0.02877711,0.026665151405082597
2024-06-02,0.014621471509088123,0.027858334,0.025867257200699066
2024-06-03,0.014580253489687847,0.02725376,0.025149731864729297
2024-06-04,0.013755540606071991,0.026316553,0.02489000952583461
2024-06-05,0.01420643833331811,0.025451384,0.025381278556995825
2024-06-06,0.015356303505319791,0.026271928,0.024781305414904795
2024-06-07,0.016490163132518068,0.026191356,0.024253390265628137
2024-06-08,0.01574494583587759,0.026532108,0.02464382999693649
2024-06-09,0.016014533393089548,0.026772961,0.024066625490061284
2024-06-10,0.01624543910643463,0.02567191,0.02357119143183098
2024-06-11,0.016233079408797053,0.024953112,0.023131345968120345
2024-06-12,0.013612968220201593,0.025192806,0.024958329623176515
2024-06-13,0.011174725212329746,0.026598223,0.024620339189731617
2024-06-14,0.009070101598224375,0.026682943,0.02511384959960016
2024-06-15,0.009087738466460347,0.026903221,0.02479049072772551
2024-06-16,0.009052112054039812,0.026212499,0.02419250762139629
2024-06-17,0.008656459913207275,0.025643552,0.02371524830299187
2024-06-18,0.01677588737737995,0.024897225,0.02326291727177549
2024-06-19,0.02188636618115722,0.025161734,0.02382826186627233
2024-06-20,0.021990337779792497,0.025779452,0.023371674762936393
2024-06-21,0.02350897733869513,0.025200674,0.022956127979458566
